Symbol,Price,Avg_Volume_10D,Sector,Industry,Market_Cap_Cr,200_DMA,50_DMA,RSI,Sales_Growth_TTM%,Sales_Growth_5Y%,ROE%,Avg_ROE_5Y%,Profit_Margin%,Debt_Equity,PEG_Ratio,PE_Ratio,Down_From_52W_High%,Smart_Money%,Free_Cashflow,CFO_PAT_Ratio,EPS_Growth%,F_Score,RS_Rating,Earnings_Accel,Graham_Number,Value_Gap%,Technical_Signal,MACD_Bullish,Analyst_Rating,Target_Mean_Price,Analyst_Upside%,Analyst_Count,Promoter_Holding%,Inst_Holding%,ATR,Stop_Loss_ATR,Max_Qty_1L,score,Rating,updated_at,As_Of_Date
ACE.NS,903.9000244140625,237622,Industrials,Farm & Heavy Construction Machinery,10758.47,1065.5369482421875,905.1150061035156,76.11,-2.3,26.83,0.0,21.16,13.16,8.01,100,25.44,34.92,75.69,0,0.0,0,1,-0.83,True,346.11,-61.71,Bullish,True,None,1359.0,50.35,1,66.83,8.86,28.92,846.07,34,51.1,Hold,2026-02-16 10:06:33.927980,2026-02-16
AHCL.NS,122.4800033569336,102933,Healthcare,Drug Manufacturers - Specialty & Generic,651.0,133.9157018159565,135.51659973144533,43.0,280.1,28.16,0.0,35.86,20.39,0.27,100,18.76,29.1,92.91,0,0.0,0,2,0.0,True,86.62,-29.28,Neutral,True,None,0.0,0.0,0,92.91,0.0,5.23,112.01,191,58.3,Hold,2026-02-16 10:06:33.927980,2026-02-16
ALPEXSOLAR.NS,876.5999755859375,0,Unknown,Unknown,2053.2,1052.361997680664,826.2199938964844,61.64,0.0,,0.0,17.49,0.0,0.0,100,13.38,39.53,0.0,0,0.0,0,1,-9.38,True,0.0,0.0,Bullish,True,None,0.0,0.0,0,0.0,0.0,55.03,766.53,18,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
ANLON.NS,396.0,0,Unknown,Unknown,316.52,401.70099975585936,390.68399841308593,58.76,0.0,,0.0,21.92,0.0,0.0,100,34.07,20.32,0.0,0,0.0,0,1,-0.27,False,0.0,0.0,Bullish,True,None,0.0,0.0,0,0.0,0.0,13.08,369.83,76,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
APARINDS.NS,9451.5,157894,Industrials,Electrical Equipment & Parts,37966.44,8372.30971435547,8449.83,83.4,16.2,,0.0,20.75,4.53,0.14,100,38.97,4.58,86.62,0,0.0,0,2,2.81,False,2567.5,-72.83,Bullish,True,Buy,10352.333,9.53,6,58.06,28.56,296.7,8858.11,3,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
APOLLOTYRE.NS,484.1000061035156,1381679,Consumer Cyclical,Auto Parts,30659.11,480.9341323852539,503.43394165039064,39.98,11.8,7.8,0.0,8.43,3.36,0.29,100,33.18,10.43,83.8,0,0.0,0,2,3.47,False,283.59,-41.42,Bearish,False,Buy,562.7083,16.24,24,49.62,34.18,14.55,455.0,68,35.9,Avoid,2026-02-16 10:06:33.927980,2026-02-16
ARE&M.NS,837.2999877929688,431460,Industrials,Electrical Equipment & Parts,15326.4,960.155412902832,893.8960009765625,51.73,4.2,13.89,0.0,12.49,5.57,4.0,100,20.64,24.5,63.19,0,0.0,0,1,-3.29,False,621.19,-25.81,Bullish,True,Hold,1032.4615,23.31,13,33.3,29.9,26.88,783.55,37,36.0,Avoid,2026-02-16 10:06:33.927980,2026-02-16
ARKADE.NS,119.7699966430664,245530,Real Estate,Real Estate - Development,2223.69,167.03821968078614,130.19719970703125,61.36,-12.4,,0.0,28.72,19.72,0.18,100,15.12,43.95,82.33,0,0.0,0,2,-9.88,True,95.76,-20.05,Bullish,True,None,0.0,0.0,0,82.21,0.12,4.38,111.0,228,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
ARROWGREEN.NS,423.6499938964844,19687,Consumer Cyclical,Packaging & Containers,639.2,575.1300241088867,480.9830004882813,52.73,-5.8,,26.82,14.2,23.69,1.22,100,12.55,48.21,69.2,586362496,1.35,0,4,-8.51,True,307.91,-27.32,Bullish,True,None,0.0,0.0,0,69.2,0.0,20.78,382.09,48,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
ASHOKA.NS,146.72999572753906,817071,Industrials,Engineering & Construction,4121.25,186.50580001831054,159.63220001220702,53.34,-23.5,,0.0,34.94,34.37,0.44,100,1.45,36.43,73.59,0,0.0,0,1,-4.72,True,584.15,298.11,Bullish,True,Buy,191.85715,30.76,7,54.49,19.1,6.2,134.34,161,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
AZAD.NS,1649.5,150217,Industrials,Specialty Industrial Machinery,10652.76,1620.2035034179687,1569.9440063476563,67.09,38.5,,0.0,11.01,20.7,0.21,100,86.32,13.14,79.52,0,0.0,0,2,1.73,True,304.62,-81.53,Bullish,True,None,1901.0,15.25,5,55.84,23.67,71.94,1505.61,13,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
BANCOINDIA.NS,652.25,365404,Consumer Cyclical,Auto Parts,9329.61,644.9522129821777,660.0100012207031,71.41,16.0,,29.77,23.73,12.29,0.45,100,41.41,25.86,71.36,-2249300480,0.26,0,3,6.14,True,201.22,-69.15,Bullish,True,None,0.0,0.0,0,69.97,1.39,28.98,594.29,34,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
BANDHANBNK.NS,165.8000030517578,11573200,Financial Services,Banks - Regional,26709.91,162.2070034790039,149.27180053710939,71.04,-12.8,7.81,0.0,8.35,12.81,0.0,100,26.53,13.86,76.97,0,0.0,0,1,0.4,False,146.87,-11.42,Bullish,True,Buy,166.25,0.27,24,44.71,32.25,4.67,156.45,214,37.6,Avoid,2026-02-16 10:06:33.927980,2026-02-16
BANKBARODA.NS,287.0,8721552,Financial Services,Banks - Regional,148418.09,261.8618465423584,294.8840020751953,36.21,4.3,12.92,12.81,13.14,29.96,0.0,100,7.63,8.41,85.28,0,0.0,0,2,4.96,True,518.64,80.71,Bearish,False,Buy,330.9412,15.31,34,65.82,19.46,6.87,273.25,145,63.4,Hold,2026-02-16 10:06:33.927980,2026-02-16
BANKINDIA.NS,161.58999633789062,11273068,Financial Services,Banks - Regional,73566.55,129.2812984085083,151.8718002319336,48.18,8.9,16.33,12.05,8.45,31.19,0.0,100,7.49,5.23,88.25,0,0.0,0,2,11.63,True,303.55,87.85,Bearish,False,None,165.5,2.42,6,73.38,14.86,5.02,151.54,199,60.2,Hold,2026-02-16 10:06:33.927980,2026-02-16
BBTC.NS,1803.300048828125,47106,Consumer Defensive,Packaged Foods,12581.97,1889.4355017089845,1822.182001953125,69.45,8.0,7.72,0.0,-1.68,5.68,0.3,100,11.36,16.32,82.19,0,0.0,0,2,-0.43,True,1698.02,-5.84,Bullish,True,None,0.0,0.0,0,75.33,6.86,47.14,1709.02,21,40.1,Avoid,2026-02-16 10:06:33.927980,2026-02-16
BLS.NS,271.04998779296875,7965080,Industrials,Specialty Business Services,11158.89,341.45874885559084,298.2841586303711,51.7,43.6,37.17,0.0,24.95,22.39,0.17,100,17.35,36.76,78.45,0,0.0,0,2,-7.24,False,134.9,-50.23,Bullish,True,Strong Buy,389.0,43.52,1,73.11,5.34,12.67,245.71,78,64.3,Hold,2026-02-16 10:06:33.927980,2026-02-16
