symbol,raw_score,raw_rank,gold_score,gold_rank,in_raw,in_gold,raw_status,raw_cagr,raw_win_rate,raw_max_drawdown,raw_sharpe,gold_status,gold_cagr,gold_win_rate,gold_max_drawdown,gold_sharpe,delta_cagr_gold_minus_raw,delta_sharpe_gold_minus_raw
MRPL.NS,85.0,1,85.0,1,True,True,OK,29.63,50.0,-55.22,0.78,OK,29.63,50.0,-55.22,0.78,0.0,0.0
MASTEK.NS,83.6,2,83.6,2,True,True,OK,5.51,100.0,-28.28,0.34,OK,5.51,100.0,-28.28,0.34,0.0,0.0
IMFA.NS,80.0,3,80.0,3,True,True,OK,48.79,100.0,-39.41,1.16,OK,48.79,100.0,-39.41,1.16,0.0,0.0
STYL.NS,80.0,4,80.0,4,True,True,INSUFFICIENT_DATA,0.0,0.0,0.0,0.0,INSUFFICIENT_DATA,0.0,0.0,0.0,0.0,0.0,0.0
CEIGALL.NS,79.0,5,79.0,5,True,True,OK,0.0,0.0,0.0,0.0,OK,0.0,0.0,0.0,0.0,0.0,0.0
IGL.NS,75.7,6,75.7,6,True,True,OK,-15.16,0.0,-56.02,-0.5,OK,-15.16,0.0,-56.02,-0.5,0.0,0.0
BLS.NS,75.0,7,75.0,7,True,True,OK,0.0,0.0,0.0,0.0,OK,0.0,0.0,0.0,0.0,0.0,0.0
AJAXENGG.NS,75.0,8,75.0,8,True,True,OK,0.0,0.0,0.0,0.0,OK,0.0,0.0,0.0,0.0,0.0,0.0
ASKAUTOLTD.NS,75.0,9,75.0,9,True,True,OK,0.0,0.0,0.0,0.0,OK,0.0,0.0,0.0,0.0,0.0,0.0
GARUDA.NS,75.0,10,75.0,10,True,True,OK,0.0,0.0,0.0,0.0,OK,0.0,0.0,0.0,0.0,0.0,0.0
GESHIP.NS,74.1,11,74.1,11,True,True,OK,55.92,100.0,-33.73,1.43,OK,55.92,100.0,-33.73,1.43,0.0,0.0
GRAVITA.NS,72.0,12,72.0,12,True,True,OK,53.28,50.0,-47.76,1.19,OK,53.28,50.0,-47.76,1.19,0.0,0.0
CANBK.NS,72.0,13,72.0,13,True,True,OK,37.48,100.0,-22.89,1.26,OK,37.48,100.0,-22.89,1.26,0.0,0.0
CHENNPETRO.NS,72.0,14,72.0,14,True,True,OK,54.87,100.0,-49.92,1.1,OK,54.87,100.0,-49.92,1.1,0.0,0.0
CHOLAHLDNG.NS,72.0,15,72.0,15,True,True,OK,10.86,33.33,-40.63,0.5,OK,10.86,33.33,-40.63,0.5,0.0,0.0
EMCURE.NS,72.0,16,72.0,16,True,True,OK,0.0,0.0,0.0,0.0,OK,0.0,0.0,0.0,0.0,0.0,0.0
HAL.NS,72.0,17,72.0,17,True,True,OK,-4.06,0.0,-17.01,-0.44,OK,-4.06,0.0,-17.01,-0.44,0.0,0.0
LICI.NS,72.0,18,72.0,18,True,True,OK,7.25,50.0,-31.99,0.42,OK,7.25,50.0,-31.99,0.42,0.0,0.0
TRIVENI.NS,72.0,19,72.0,19,True,True,OK,1.9,25.0,-33.29,0.21,OK,1.9,25.0,-33.29,0.21,0.0,0.0
WAAREEENER.NS,72.0,20,72.0,20,True,True,OK,0.0,0.0,0.0,0.0,OK,0.0,0.0,0.0,0.0,0.0,0.0
