Symbol,Price,Data_Source,History_Bars_1Y,Last_Price_Date,Price_Age_Days,Avg_Volume_10D,Sector,Industry,Market_Cap_Cr,200_DMA,50_DMA,RSI,Sales_Growth_TTM%,Sales_Growth_5Y%,ROE%,Avg_ROE_5Y%,Profit_Margin%,Debt_Equity,PEG_Ratio,PE_Ratio,Down_From_52W_High%,Smart_Money%,Free_Cashflow,CFO_PAT_Ratio,EPS_Growth%,F_Score,F_Score_Method,RS_Rating,Earnings_Accel,Earnings_Inflection_Score,Graham_Number,Value_Gap%,Technical_Signal,MACD_Bullish,Analyst_Rating,Target_Mean_Price,Analyst_Upside%,Analyst_Count,Promoter_Holding%,Inst_Holding%,ATR,Stop_Loss_ATR,Max_Qty_1L,Estimate_Score_Adj,Momentum_Signal,High_52W,Low_52W,ROCE%,Median_PAT_Growth_5Y%,Pledge_Pct,Ret_1M,Ret_3M,Ret_6M,Vol_Breakout,Dist_From_52W_High,Fetch_Core_Present,Fetch_Core_Required,Fetch_History_Required,Fetch_Valid,_dq_blocked,Data_Quality,Fetch_Soft_Flags,Short_History_Exempt,DQ_Adjustment,score,sales_cagr_5y,avg_roe_5y,pe_ratio,debt_equity,cfo_pat_ratio,market_cap_cr,ml_rank_score,Backtest_CAGR,Backtest_Win_Rate,Backtest_Max_DD,Backtest_Sharpe,Sector_Leader,Score,factor_penalties,Data_Confidence,Conviction_Score,Conviction_Boost,Institutional_Interest,Super_Investors,Rating,ML_Predicted_Return,SHAP_Breakdown,Buy_Below,Stop_Loss,Target_1
TAKE.NS,36.619998931884766,yfinance,247,,,587172,Healthcare,Biotechnology,535.48,24.20755002498627,42.04320014953613,40.36,-82.9,,182.53,-92.32,0.0,0.0,,,26.67,1211.8,0,0.0,-97.9,5,9pt_piotroski,-28.98,False,0,1.4,-96.18,Bearish,False,None,0.0,0.0,0,1211.8,0.0,1.43,33.75,697,0,STABLE,49.94,6.51,13.15,87.18,0,-0.2245,0.0362,2.5347,0.01,0.2504,5,2,120,True,False,60.4,,,,0.0,0.0,-92.32,0.0,0.0,0.0,535.48,0.57353,0.0,0.0,0.0,0.0,False,29.29733,"[{'name': 'Declining Revenue (Partial)', 'value': -3}, {'name': 'ROE Decay Spline (-92.3)', 'value': -60}, {'name': 'Value Destruction Spline (-92.3)', 'value': -60}, {'name': 'Margin Decay Spline (0.0)', 'value': -60}, {'name': 'Overvaluation Spline (-96.2)', 'value': -60}, {'name': 'Cash Quality Spline (0.0)', 'value': -60}, {'name': 'EPS Decay Spline (-97.9)', 'value': -60}, {'name': 'Lopsided Profile Spline (32.8)', 'value': -60}, {'name': 'Institutional Quality Gate 2/12', 'value': -60}]",75.0,25.0,0.0,0,,Avoid,-4.54268716275692,"{""market_cap_cr"": -0.017680460587143898, ""debt_equity"": 0.004278908483684063, ""pe_ratio"": 0.003624615492299199, ""sales_cagr_5y"": -0.002125021070241928, ""avg_roe_5y"": -0.0019701530691236258, ""score"": -0.0016037989407777786, ""cfo_pat_ratio"": 0.00034450655221007764}",37.4,33.8,45.8
MAHASTEEL.NS,913.0,yfinance,247,,,15907,Metals & Mining,Steel,1502.63,591.9832507324219,809.9940014648438,64.6,12.2,,5.1,4.4,1.28,0.4,,137.5,13.05,8506.2,0,0.0,75.8,7,9pt_piotroski,-15.2,False,0,113.5,-87.57,Bullish,True,None,0.0,0.0,0,8506.2,0.0,71.51,769.97,13,0,STABLE,1050.0,221.9,8.28,13.15,0,0.2234,0.1013,1.3294,0.15,0.1057,7,2,120,True,False,74.4,,,,0.0,0.0,4.4,137.5,0.4,0.0,1502.63,0.3930929999999999,0.0,0.0,0.0,0.0,False,23.33463,"[{'name': 'High Volatility', 'value': -2}, {'name': 'Extreme Overvaluation', 'value': -5}, {'name': 'ROE Decay Spline (4.4)', 'value': -40}, {'name': 'Margin Decay Spline (1.3)', 'value': -40}, {'name': 'Overvaluation Spline (-87.6)', 'value': -40}, {'name': 'Cash Quality Spline (0.0)', 'value': -40}, {'name': 'Lopsided Profile Spline (36.6)', 'value': -40}, {'name': 'Institutional Quality Gate 6/12', 'value': -40}]",87.5,20.0,0.0,0,,Avoid,-6.59649595618248,"{""market_cap_cr"": -0.029023120179772377, ""avg_roe_5y"": -0.019887475296854973, ""pe_ratio"": 0.018096160143613815, ""sales_cagr_5y"": -0.00723922299221158, ""score"": 0.0011165274772793055, ""debt_equity"": 0.0007924888050183654, ""cfo_pat_ratio"": 0.00047515123151242733}",931.3,770.0,1141.2
MTARTECH.NS,3343.39990234375,yfinance,248,,,352315,Industrials,Specialty Industrial Machinery,10301.95,2276.907993774414,3276.9119921875,38.19,59.3,,7.26,10.0,8.43,0.25,,160.91,14.71,6990.3,0,0.0,117.3,7,9pt_piotroski,-9.82,False,0,354.65,-89.39,Bearish,False,None,4257.25,27.33,4,3044.7,3945.6,180.42,2982.57,5,0,STABLE,3920.0,1155.6,10.58,-5.75,0,-0.0859,0.3595,0.8592,0.27,0.1217,7,2,120,True,False,74.4,,,,0.0,0.0,10.0,160.91,0.25,0.0,10301.95,0.34304100000000004,0.0,0.0,0.0,0.0,False,37.4529,"[{'name': 'Extreme Overvaluation', 'value': -5}, {'name': 'ROE Decay Spline (10.0)', 'value': -40}, {'name': 'Overvaluation Spline (-89.4)', 'value': -40}, {'name': 'Cash Quality Spline (0.0)', 'value': -40}, {'name': 'Lopsided Profile Spline (38.9)', 'value': -40}, {'name': 'Institutional Quality Gate 6/12', 'value': -40}]",87.5,20.0,0.0,0,,Avoid,0.029464936233125627,"{""avg_roe_5y"": 0.02507108822464943, ""pe_ratio"": 0.022814270108938217, ""market_cap_cr"": -0.015032016672194004, ""debt_equity"": -0.003619107184931636, ""score"": 0.0025363650638610125, ""sales_cagr_5y"": -0.0018829761538654566, ""cfo_pat_ratio"": 0.00070249626878649}",3410.3,2982.6,4179.2
ACUTAAS.NS,2290.199951171875,yfinance,202,,,420701,Basic Materials,Specialty Chemicals,18748.49,1589.5387322998047,2009.189990234375,54.49,43.0,,12.12,12.95,23.62,0.58,,65.35,6.93,7203.6,0,0.0,130.8,6,9pt_piotroski,-6.37,False,0,380.34,-83.39,Bullish,True,Buy,2131.0,-6.95,9,3757.8,3445.8,122.81,2044.57,8,0,STABLE,2460.8,1059.0,16.51,15.77,0,0.0872,0.3893,0.5569,0.99,0.0457,7,2,120,True,False,74.4,,,,0.0,0.0,12.95,65.35,0.58,0.0,18748.49,0.339603,0.0,0.0,0.0,0.0,False,38.34873,"[{'name': 'High Overvaluation', 'value': -3}, {'name': 'Overvaluation Spline (-83.4)', 'value': -40}, {'name': 'Cash Quality Spline (0.0)', 'value': -40}, {'name': 'Lopsided Profile Spline (34.3)', 'value': -40}, {'name': 'Institutional Quality Gate 6/12', 'value': -40}]",87.5,10.0,0.0,0,,Avoid,-3.2403282821178436,"{""market_cap_cr"": 0.006429990287870169, ""sales_cagr_5y"": -0.006404343992471695, ""avg_roe_5y"": -0.0014594454551115632, ""pe_ratio"": -0.0013686458114534616, ""score"": 0.0012193132424727082, ""debt_equity"": -0.0010346168419346213, ""cfo_pat_ratio"": 0.0005099305417388678}",2336.0,2044.6,2862.7
VENUSREM.NS,835.8499755859375,yfinance,247,,,79818,Healthcare,Drug Manufacturers - Specialty & Generic,1113.57,593.6014993286133,765.3690002441406,71.23,1.9,,8.08,6.96,10.85,2.42,,14.59,11.53,4907.2,0,0.0,36.1,7,9pt_piotroski,-10.46,False,0,681.45,-18.47,Bullish,True,None,0.0,0.0,0,4792.4,114.8,52.73,730.39,18,0,STABLE,944.75,277.95,12.41,7.25,0,0.1007,0.0898,0.9149,0.5,0.0988,7,2,120,True,False,74.4,,,,0.0,0.0,6.96,14.59,2.42,0.0,1113.57,0.335638,0.0,0.0,0.0,0.0,False,46.46033,"[{'name': 'ROE Decay Spline (7.0)', 'value': -40}, {'name': 'Overvaluation Spline (-18.5)', 'value': -40}, {'name': 'Cash Quality Spline (0.0)', 'value': -40}, {'name': 'Lopsided Profile Spline (40.7)', 'value': -40}, {'name': 'Institutional Quality Gate 7/12', 'value': -40}]",87.5,10.0,0.0,0,,Avoid,-9.106876701116562,"{""market_cap_cr"": -0.02219441533088684, ""avg_roe_5y"": -0.022085348144173622, ""debt_equity"": -0.0059697446413338184, ""sales_cagr_5y"": -0.003865417093038559, ""score"": -0.0038152060005813837, ""pe_ratio"": -0.003367616329342127, ""cfo_pat_ratio"": 0.0005244195926934481}",852.6,730.4,1044.8
VTL.NS,528.7999877929688,yfinance,248,,,470347,Textiles,Textile Manufacturing,15299.21,453.0046405029297,490.0609991455078,40.82,1.6,,8.93,9.11,8.08,0.14,,18.87,5.55,8353.7,0,0.0,-20.9,7,9pt_piotroski,-2.76,False,0,478.16,-9.58,Bearish,False,None,445.6,-15.73,5,6490.1,1863.6,20.88,487.05,47,0,STABLE,559.9,383.7,11.08,-20.57,0,-0.0143,0.1771,0.241,2.5,0.0452,7,2,120,True,False,74.4,,,,0.0,0.0,9.11,18.87,0.14,0.0,15299.21,0.3328519999999999,0.0,0.0,0.0,0.0,False,46.16782,"[{'name': 'ROE Decay Spline (9.1)', 'value': -40}, {'name': 'Cash Quality Spline (0.0)', 'value': -40}, {'name': 'EPS Decay Spline (-20.9)', 'value': -40}, {'name': 'Lopsided Profile Spline (40.1)', 'value': -40}, {'name': 'Institutional Quality Gate 7/12', 'value': -40}]",87.5,20.0,0.0,0,,Avoid,-1.1916415765881538,"{""avg_roe_5y"": 0.011798643507063389, ""market_cap_cr"": 0.007228171452879906, ""pe_ratio"": 0.006357158999890089, ""sales_cagr_5y"": -0.0031809539068490267, ""debt_equity"": -0.002672669943422079, ""score"": -0.002240234985947609, ""cfo_pat_ratio"": 0.0010889305267482996}",539.4,487.1,661.0
AETHER.NS,1100.25,yfinance,248,,,391720,Basic Materials,Specialty Chemicals,14644.6,843.2005023193359,994.8780053710938,67.1,44.4,,7.12,8.8,19.7,9.24,,67.76,6.76,8923.7,0,0.0,48.6,5,9pt_piotroski,-5.66,False,0,267.42,-75.69,Bullish,True,None,1154.2,4.9,5,7660.6,1263.1,61.42,977.41,16,0,STABLE,1180.0,725.0,9.7,19.72,0,0.1387,0.2758,0.4947,1.12,0.0479,7,2,120,True,False,74.4,,,,0.0,0.0,8.8,67.76,9.24,0.0,14644.6,0.32095699999999994,0.0,0.0,0.0,0.0,False,25.53903,"[{'name': 'High Overvaluation', 'value': -3}, {'name': 'ROE Decay Spline (8.8)', 'value': -45}, {'name': 'Overvaluation Spline (-75.7)', 'value': -45}, {'name': 'Cash Quality Spline (0.0)', 'value': -45}, {'name': 'Lopsided Profile Spline (27.2)', 'value': -45}, {'name': 'Institutional Quality Gate 4/12', 'value': -45}]",87.5,10.0,0.0,0,,Avoid,-1.5083112753927708,"{""avg_roe_5y"": 0.007958809845149517, ""market_cap_cr"": 0.005846830550581217, ""sales_cagr_5y"": -0.0027574345003813505, ""debt_equity"": 0.0023190253414213657, ""pe_ratio"": 0.0022994924802333117, ""score"": -0.0011406620033085346, ""cfo_pat_ratio"": 0.0006862935260869563}",1122.3,977.4,1375.3
SUNTV.NS,600.0,yfinance,248,,,293400,Communication Services,Broadcasting,23645.08,564.8110003662109,572.2278454589843,43.01,4.2,3.85,14.62,18.34,35.67,1.18,,14.97,13.22,9157.8,0,0.0,-10.7,5,9pt_piotroski,-1.03,False,0,495.64,-17.39,Neutral,True,Buy,668.1818,11.36,11,7846.9,1310.9,25.47,549.05,39,0,STABLE,691.4,480.2,18.95,3.94,0,0.0285,0.084,0.0903,6.31,0.1061,7,2,120,True,False,74.4,,,,0.0,3.85,18.34,14.97,1.18,0.0,23645.08,0.310419,0.0,0.0,0.0,0.0,True,48.11213,"[{'name': 'Growth Decay Spline (3.9)', 'value': np.float64(-41.7)}, {'name': 'Overvaluation Spline (-17.4)', 'value': np.float64(-41.7)}, {'name': 'Cash Quality Spline (0.0)', 'value': np.float64(-41.7)}, {'name': 'EPS Decay Spline (-10.7)', 'value': np.float64(-41.7)}, {'name': 'Lopsided Profile Spline (31.0)', 'value': np.float64(-41.7)}, {'name': 'Institutional Quality Gate 6/12', 'value': np.float64(-41.7)}]",87.5,25.0,0.0,0,,Avoid,-2.2432049736380577,"{""market_cap_cr"": 0.006327447481453419, ""avg_roe_5y"": 0.0028989887796342373, ""score"": -0.0022828637156635523, ""cfo_pat_ratio"": 0.0010901980567723513, ""debt_equity"": -0.0007557281642220914, ""sales_cagr_5y"": 0.000487872603116557, ""pe_ratio"": 9.749691525939852e-05}",612.0,549.0,750.0
NATIONALUM.NS,348.3999938964844,yfinance,248,,,18998792,Metals & Mining,Aluminum,64059.51,256.0175122833252,367.6274853515625,45.72,1.5,,29.59,18.67,33.94,0.28,,10.42,19.26,7240.1,0,0.0,1.9,8,9pt_piotroski,-7.91,False,0,235.15,-32.51,Bearish,False,Buy,353.45456,1.45,11,5127.8,2112.3,19.09,310.21,52,0,STABLE,431.5,137.75,36.73,38.6,0,0.0211,0.2152,0.6923,0.59,0.1774,7,2,120,True,False,74.4,,,,0.0,0.0,18.67,10.42,0.28,0.0,64059.51,0.303328,53.13,100.0,-30.26,1.34,False,60.00565,"[{'name': 'Overvaluation Spline (-32.5)', 'value': -40}, {'name': 'Cash Quality Spline (0.0)', 'value': -40}, {'name': 'EPS Decay Spline (1.9)', 'value': -40}, {'name': 'Lopsided Profile Spline (43.3)', 'value': -40}]",87.5,35.0,0.0,0,,Hold,0.3330283099785447,"{""market_cap_cr"": 0.020104214549064636, ""avg_roe_5y"": 0.006510160863399506, ""pe_ratio"": 0.006459058728069067, ""sales_cagr_5y"": -0.0033379646483808756, ""score"": 0.0025248199235647917, ""cfo_pat_ratio"": 0.001047358731739223, ""debt_equity"": 0.0003181073989253491}",355.4,310.2,435.5
NGLFINE.NS,2066.300048828125,yfinance,248,,,5259,Healthcare,Drug Manufacturers - General,1288.51,1512.8871002197266,2027.67599609375,32.38,43.1,5.09,7.48,12.47,7.92,0.29,,36.11,19.76,7273.6,0,0.0,1127.1,4,9pt_piotroski,-5.29,False,0,790.94,-61.72,Bearish,False,None,0.0,0.0,0,7273.6,0.0,137.75,1790.8,7,0,STABLE,2575.0,980.0,9.56,-48.87,0,-0.1194,0.5807,0.4625,0.42,0.15,7,2,120,True,False,74.4,,,,0.0,5.09,12.47,36.11,0.29,0.0,1288.51,0.301434,0.0,0.0,0.0,0.0,False,36.32099,"[{'name': 'Growth Decay Spline (5.1)', 'value': -40}, {'name': 'Quality Floor Spline (F:4)', 'value': -40}, {'name': 'Overvaluation Spline (-61.7)', 'value': -40}, {'name': 'Cash Quality Spline (0.0)', 'value': -40}, {'name': 'Lopsided Profile Spline (41.8)', 'value': -40}, {'name': 'Institutional Quality Gate 5/12', 'value': -40}]",87.5,20.0,0.0,0,,Avoid,-4.330664500594139,"{""market_cap_cr"": -0.01836707629263401, ""debt_equity"": 0.004561878275126219, ""avg_roe_5y"": 0.0038534619379788637, ""pe_ratio"": -0.0033465262968093157, ""score"": -0.001512724906206131, ""sales_cagr_5y"": 0.001357894274406135, ""cfo_pat_ratio"": 0.0004419105243869126}",2107.6,1790.8,2582.9
